Trans. Date,Post Date,Description,Amount,Category
09/24/2021,09/26/2021,"CVS/PHARMACY #05828 LOS ANGELES CA",114.71,"Merchandise"
09/24/2021,09/26/2021,"LA CITY PARKING METER LOS ANGELES CA",0.75,"Services"
09/25/2021,09/26/2021,"AMAZON.COM*2C36600W1 AMZN.COM/BILLWA5AVU4WOPLY8",30.40,"Merchandise"
09/25/2021,09/26/2021,"AMZN MKTP US*2C3NT8011 AMZN.COM/BILLWA72W6N0VA9CH",26.66,"Merchandise"
09/26/2021,09/26/2021,"RALPHS #0759 LOS ANGELES CA",7.98,"Supermarkets"
09/26/2021,09/26/2021,"SQ *BURRATA HOUSE, INC LOS ANGELES CA0001152921510602718916",16.42,"Restaurants"
09/26/2021,09/26/2021,"TRADER JOE'S #253 SANTA MONICA CA",10.62,"Supermarkets"
09/28/2021,09/28/2021,"LA GRIGLIATA VAN NUYS CA",11.96,"Restaurants"
09/29/2021,09/29/2021,"AMAZON.COM*2C2EE4MO0 AMZN.COM/BILLWA4FWZVP126CR",35.03,"Merchandise"
09/29/2021,09/29/2021,"AMAZON.COM*2C5EZ5BF1 AMZN.COM/BILLWA60MWV5SZQPB",10.90,"Merchandise"
09/30/2021,09/30/2021,"AMZN MKTP US*2C6G26BY0 AMZN.COM/BILLWAVYCJEAHEBMS",30.29,"Merchandise"
09/30/2021,09/30/2021,"PAYPAL *GITHUB INC 402-935-7733 CA",4.00,"Merchandise"
10/01/2021,10/01/2021,"AMAZON.COM*2C78S4Q80 AMZN.COM/BILLWA72K6OCDS8IP",35.03,"Merchandise"
10/01/2021,10/01/2021,"AMZN MKTP US*2C58N8QN0 AMZN.COM/BILLWA46HG1S0CZRV",20.75,"Merchandise"
10/02/2021,10/02/2021,"2LEVY RBOWL17163205307 PASADENA CA",19.84,"Restaurants"
10/02/2021,10/02/2021,"CKE*WINGS & POT 210 LOS ANGELES CA",19.00,"Restaurants"
10/02/2021,10/02/2021,"SHELL 57444178503 LOS ANGELES CA",43.52,"Gasoline"
10/02/2021,10/02/2021,"SPOTIFY P17448C87D 8777781161 NY",9.99,"Merchandise"
10/02/2021,10/02/2021,"UBER TRIP 866-576-1039 CA",25.96,"Travel/ Entertainment"
10/02/2021,10/03/2021,"AMAZON.COM AMZN.COM/BILLWA1H0E9QOG7HI",-35.03,"Payments and Credits"
10/02/2021,10/03/2021,"AMZN MKTP US AMZN.COM/BILLWA6YXYR6NT14Z",-28.99,"Payments and Credits"
10/02/2021,10/03/2021,"AMZN MKTP US AMZN.COM/BILLWA1EV3H6MZB0Y",-1.30,"Payments and Credits"
10/03/2021,10/03/2021,"EREWHON VENICE VENICE CA",4.24,"Supermarkets"
10/04/2021,10/04/2021,"TST* WURSTKUCHE - VENICE VENICE CA",16.43,"Restaurants"
10/05/2021,10/05/2021,"CHICK-FIL-A #03196 LOS ANGELES CA",9.84,"Restaurants"
10/06/2021,10/06/2021,"PAYPAL *AIRBNB HMNRBJC 402-935-7733 CA",111.79,"Travel/ Entertainment"
10/07/2021,10/07/2021,"AMAZON PRIME*275NE1J50 AMZN.COM/BILLWA49B252D1GKA",7.11,"Merchandise"
10/07/2021,10/07/2021,"HIMS & HERS HEALTH 8003680038 CA",78.00,"Merchandise"
10/07/2021,10/07/2021,"MCDONALD'S F22694 KETTLEMAN CTYCA",5.67,"Restaurants"
10/07/2021,10/07/2021,"SQ *POKE BAR MV MOUNTAIN VIEWCA0002305843014663522140",17.71,"Restaurants"
10/08/2021,10/08/2021,"GELATO CLASSICO ITALIAN MOUNTAIN VIEWCA",6.50,"Restaurants"
10/08/2021,10/08/2021,"HOTEL ABRI SAN FRAN SAN FRANCISCOCA",40.00,"Travel/ Entertainment"
10/08/2021,10/08/2021,"SLICE*ABESPIZZA 8889749928 NY",16.64,"Restaurants"
10/09/2021,10/09/2021,"PAYPAL *THEATHLETIC 402-935-7733 CA",7.99,"Merchandise"
10/09/2021,10/09/2021,"SQ *SLO DONUT COMPANY ATASCADERO CA0002305843014678529220",6.40,"Restaurants"
10/10/2021,10/10/2021,"IN N OUT BURGER 119 LOS ANGELES CA",10.84,"Restaurants"
10/10/2021,10/10/2021,"SQ *YEASTIE BOYS BAGEL LOS ANGELES CA0002305843014681818264",14.24,"Travel/ Entertainment"
10/10/2021,10/10/2021,"TST* TASTE  CRAFT EATERY SAN LUIS OBISCA",23.00,"Restaurants"
10/11/2021,10/11/2021,"AMZN MKTP US*270Y428G1 AMZN.COM/BILLWA4QBL5GQ0F9P",23.64,"Merchandise"
10/11/2021,10/11/2021,"AMZN MKTP US*271EY4Q01 AMZN.COM/BILLWA1Z8A4DNRLJD",3.99,"Merchandise"
10/11/2021,10/11/2021,"TARGET LOS ANGELES CA",13.98,"Supermarkets"
10/13/2021,10/13/2021,"RALPHS #0006 ENCINO CA",9.84,"Supermarkets"
10/14/2021,10/14/2021,"TRADER JOE'S #056 QPS ENCINO CA",19.21,"Supermarkets"
10/15/2021,10/15/2021,"AMZN MKTP US*272RI1W50 AMZN.COM/BILLWA28T3IT553OV",11.71,"Merchandise"
10/15/2021,10/15/2021,"CHURROS CALIENTES WEST LOS ANGECA",11.34,"Restaurants"
10/15/2021,10/15/2021,"EL REY THEA68173103937 LOS ANGELES CA",17.00,"Restaurants"
10/16/2021,10/16/2021,"GOGOBOP LOS ANGELES CA",11.86,"Restaurants"
10/17/2021,10/17/2021,"AMZN MKTP US*276Y642L2 AMZN.COM/BILLWA6WYGH8VCCMY",14.99,"Merchandise"
10/19/2021,10/19/2021,"AMAZON.COM*279HS8RD2 AMZN.COM/BILLWA3JXQRRY2TBX",7.11,"Merchandise"
10/20/2021,10/20/2021,"AMAZON.COM*2Y3934ZH2 AMZN.COM/BILLWA5IV8FJZWCF6",16.99,"Merchandise"
10/20/2021,10/20/2021,"AMZN MKTP US*2Y8NW7MK0 AMZN.COM/BILLWA3L1H3EXN8Z3",21.87,"Merchandise"
